Date,Assigned to,Newspaper,Link,Section,Key words,Opinion adm,Opinion CDC,Briefly observation,,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/apple-updates-siri-for-coronavirus-questioning/,News,Apple updated voice assistant ,Nada,1,Siri is now taking cues from the CDC,,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/mike-pence-second-lady-test-negative-for-coronavirus/,News,"Vice tested negative, Trump tested negative ",1,Nada,"Pence had told reporters earlier in the day that he had no reason to believe he was exposed to the virus, but took the test because of the “unique position that I have as vice president and as the leader of the White House coronavirus task force.”",,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/mlb-opening-day-delay-draws-sad-parallels/,Sports,delayed start season,Nada,Nada,This will be the first time since 1995 when the Opening Day won’t be played as originally scheduled.,,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/38-test-positive-for-coronavirus-in-nyc-jails-including-rikers/,News,"coronavirus jail outbreak, officers scared, release inmates",1,Nada,“The best path forward to protecting the community of people housed and working in the jails is to rapidly decrease the number of people housed and working in them.”,,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/first-federal-inmate-tests-positive-for-coronavirus/,Metro,"inmate positive, isolation, quarantined",Nada,Nada,"Over the last week, the federal prison system has tried to prevent the spread of the virus in its 122 facilities by suspending inmate visits and limiting prisoner.  The news of the coronavirus case inside the federal prison system comes as civil rights groups warn of the unsafe “breeding ground for infectious disease.”

On Friday, the Legal Aid Society sued the Department of Corrections for the release of more than 100 inmates awaiting state trialstransfers.",,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/de-blasio-blames-trump-for-nyc-hospital-equipment-shortage-people-will-die/,Metro,shortage of equipment,-1,Nada,"“We have only just begun. That is the truth. The worst is yet to come,” he warned. “April is going to be a lot worse than March and I feel May could be worse than April.” In a separate interview that aired on NBC’s “Meet the Press” Sunday, Hizzoner also President Trump for the city’s supply shortage.",,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/coronavirus-in-ny-top-surgeon-warns-hospital-could-be-over-capacity-in-22-days/,Metro,"Infected frontliners, infection clusters",Nada,Nada,"Dr. Craig Smith, who is the chief of surgery at New York-Presbyterian Hospital, wrote a letter to colleagues Friday predicting that the hospital could be over capacity for coronavirus patients in 22 to 32 days.",,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/new-jerseys-first-coronavirus-patient-released-from-hospital-on-oxygen/,Metro,discharged with oxyigen,Nada,Nada,"“I am only 32 and I cannot rely on oxygen forever,” he said.",,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/above-the-law-blog-founder-david-lat-on-ventilator-with-coronavirus/,Metro,"ventilator, frustration with health care system",Nada,Nada,"“Folks, this #CoronavirusOutbreak is no joke,” he wrote Tuesday. “I’ll give you occasional updates, tweeting from ‘Above the Hospital Bed,’ about how serious #COVID19 aka #coronavirus can be.”",,,,,,,,,,,
3/22/2020,A,The New York Post,https://nypost.com/2020/03/22/guardian-angels-caring-for-nycs-homeless-amid-coronavirus-outbreak/,Metro,"Homeless, volunteers",Nada,Nada,"“People are avoiding them. Cops don’t want to deal with them. Absolutely, no Thrive NYC workers out there who should be dealing with this,” Sliwa said of First Lady Chirlane McCray’s embattled signature program.",,,,,,,,,,,
